Wavelength (nm),Intensity (a.u.),
350,1.148628831,
352,1.004657984,
354,1.252405047,
356,1.23760128,
358,1.149381995,
360,1.301187754,
362,1.205765724,
364,1.385352731,
366,1.531422496,
368,1.6925565,
370,1.970905542,
371.9599915,2.596910238,
373.9299927,3.367943287,
376.0599976,5.401041985,
378.0299988,7.222511292,
380,11.004179,
382,15.5895319,
384,21.55693054,
386,29.97395134,
388,39.96437454,
390,53.35757065,
392,69.70272064,
394,88.34548187,
396,111.028511,
398,135.4971008,
400,166.7505188,
401.9599915,199.2217712,
403.9299927,233.9641418,
406.0599976,277.6517334,
408.0299988,316.2504578,
410,359.700531,
412,404.1163025,
414,446.9732971,
416,493.3873291,
418,532.9170532,
420,565.5581055,
421.9599915,601.5987549,
423.9299927,636.1080322,
426.0599976,668.0041504,
428.0299988,700.1845093,
430,720.9703979,
431.9599915,757.7352905,
433.9299927,784.234314,
436.0599976,823.635376,
438.0299988,849.2148438,
440,877.3670044,
442,901.0999146,
444,920.7324829,
446,942.8861084,
448,956.6735229,
450,972.8137817,
451.9400024,988.6560669,
454.019989,988.9078979,
455.9700012,988.2330933,
458.0499878,986.0283813,
460,977.1064453,
461.9599915,962.8193359,
463.9299927,952.3602905,
466.0599976,924.5891113,
468.0299988,908.5095825,
470,884.7216797,
471.9599915,860.425415,
473.9299927,841.8227539,
476.0599976,813.6703491,
478.0299988,784.8811646,
480,758.3136597,
481.9599915,726.9720459,
483.9299927,703.2477417,
486.0599976,672.2507935,
488.0299988,645.9943848,
490,618.050415,
491.9400024,587.5914917,
494.019989,564.7102661,
495.9700012,540.2084351,
498.0499878,509.2662659,
500,489.2748413,
501.9400024,465.2576294,
504.019989,442.7529602,
505.9700012,422.2692261,
508.0499878,396.0076599,
510,377.796814,
511.9599915,357.5598145,
513.9299927,338.3783569,
516.0599976,317.6377869,
518.0300293,300.5210266,
520,285.4510498,
522.0499878,268.8679199,
523.9699707,252.9127045,
526.0200195,239.4252625,
527.9400024,225.3836517,
530,211.1397247,
531.9400024,198.7718506,
534.0200195,186.277359,
535.9699707,177.135788,
538.0499878,164.0458527,
540,154.6144562,
541.9400024,147.1188507,
544.0200195,135.5435028,
545.9699707,129.3079071,
548.0499878,121.7213516,
550,113.3679657,
551.9400024,107.2203903,
554.0200195,100.7698898,
555.9699707,95.41017151,
558.0499878,87.60752106,
560,81.67169952,
562.0499878,76.67362976,
563.9699707,72.83257294,
566.0200195,67.35643768,
567.9400024,62.57012558,
570,59.03016281,
572.0499878,55.78739548,
573.9699707,51.69610214,
576.0200195,49.48880386,
577.9400024,45.73487854,
580,42.95637512,
582.0499878,39.5002861,
583.9699707,37.04476166,
586.0200195,35.46339798,
587.9400024,34.05286789,
590,30.50232506,
592.0499878,28.64995956,
593.9699707,26.63059998,
596.0200195,24.56682396,
597.9400024,23.84972954,
600,22.27671814,
602.0499878,20.84176064,
603.9699707,19.72631645,
606.0200195,17.97020149,
607.9400024,17.0894928,
610,15.74108791,
612.0200195,14.79207325,
614.0499878,14.04289532,
615.9400024,12.97816849,
617.9699707,12.26314068,
620,11.25346947,
622.0200195,10.60130692,
624.0499878,9.231517792,
625.9400024,9.277140617,
627.9699707,8.645913124,
630,7.992628098,
632.0200195,7.48880434,
634.0499878,7.055449486,
635.9400024,6.304999352,
637.9699707,6.280741692,
640,5.975171089,
642.0200195,6.021901608,
644.0499878,5.412385941,
645.9400024,5.611199379,
647.9699707,5.432136059,
650,5.261876583,
652.0200195,4.706460476,
654.0499878,4.043763638,
655.9400024,3.732057571,
657.9699707,3.20572567,
660,2.866464138,
662,2.876450539,
664,2.707491398,
666,2.231922388,
668,2.333393812,
670,2.191269398,
672.0200195,2.127915859,
674.0499878,1.674715638,
675.9400024,1.79191184,
677.9699707,1.578896642,
680,1.568035364,
682,1.595509529,
684,1.487577796,
686,1.238157749,
688,1.283575892,
690,1.194018483,
691.9699707,1.301371098,
693.9400024,1.082836986,
696.0499878,1.087412715,
698.0200195,1.06613946,
700,1.018584371,
